"Gender","Clinical.Y.N","Feedback"
"M","Y","I’ve been experiencing numbness in fingers that has been constant. I’m finding it hard to manage with work."
"F","Y","I’ve been experiencing chest tightness that feels sharp. I’m finding it hard to manage with work."
"F","Y","My sleep has been disturbed due to abdominal cramps that come and go.  Wondering if this is common?"
"F","Y","There’s a tingling sensation in my fingers that lasts for hours at a time."
"M","N","I fit note request has no response, though I contacted support last week"
"M","N","I keep trying to log in but the NHS app crashes every time I open it. I've updated to the latest version and restarted my phone, but no luck. I’m hoping this can be resolved soon."
"F","Y","I’ve been experiencing insomnia that has been worsening."
"F","Y","I’ve been experiencing chest tightness that started recently."
"M","N","Support form just reloads the page after I click submit. Really frustrating.  Hoping to get this sorted soon."
"M","Y","I’ve been experiencing shoulder discomfort that is dull but persistent. Never had anything like this before."
"F","N","The app doesn’t seem to support landscape mode, which is a problem when I’m using my tablet with a keyboard attached. It’s really starting to affect my day-to-day."
"M","N","I the system won’t send a verification email, no matter how many times I try"
"M","Y","I’ve been experiencing dizziness that has been constant. Wondering if I should see someone about it."
"M","N","I profile won’t save changes, and it’s becoming really frustrating"
"M","N","I prescription order disappeared, no matter how many times I try"
"M","N","Every time I try to order a repeat prescription, I get a message saying ‘Service unavailable’. It’s been like this for days. I’m hoping this can be resolved soon."
"F","Y","I’ve been experiencing chest tightness that started recently. It’s been going on for a few weeks."
"M","Y","I feel exhausted all the time, even after a full night's sleep. I’ve also had some unexplained weight loss and headaches. Not sure what to do next."
"F","Y","Back pain worsens in the evenings, especially after walking or standing all day.  Wondering if this is common?"
"F","N","I entered the wrong email when registering and now I can’t verify my account or change it without logging in. I’m hoping this can be resolved soon."
"M","Y","I’ve been experiencing chest tightness that has been worsening. Wondering if I should see someone about it."
"F","Y","Back pain worsens in the evenings, especially after walking or standing all day.  It’s affecting my routine badly."
"F","Y","Chronic migraine attacks are becoming more frequent. Sometimes I can’t even look at light without feeling nauseous. Not sure what to do next."
"M","Y","My sleep has been disturbed due to abdominal cramps that come and go.  It’s affecting my routine badly."
"M","N","I I keep getting an error message, no matter how many times I try"
"M","N","Can’t update my contact details – the button just doesn’t respond."
"F","N","Why does the site log me out every few minutes? It’s incredibly frustrating when I’m in the middle of filling in details."
"F","Y","I’ve been experiencing chest tightness that started recently. Not sure what’s causing it."
"M","N","I prescription order disappeared, even after resetting my password"
"F","N","I entered the wrong email when registering and now I can’t verify my account or change it without logging in. Not sure what to do next."
"M","N","Email verification not arriving, even though I’ve tried resending it twice."
"F","N","App keeps asking for a verification code but never sends one. I've tried multiple times with different devices. Might be worth checking if others are experiencing the same."
"F","Y","I’ve been experiencing joint stiffness that feels sharp. Not sure what’s causing it."
"M","Y","Headaches becoming more frequent – lasting hours, mostly around my temples.  Hoping to get this sorted soon."
"F","N","My dashboard loads but then instantly freezes. Happens on both Wi-Fi and 4G.  No idea what’s causing it."
"M","Y","I’ve been experiencing abdominal cramps that has been constant. I’m finding it hard to manage with work."
"F","N","Prescriptions tab not showing up anymore, used to work fine before.  No idea what’s causing it."
"F","Y","Knees clicking and feel unstable, sometimes painful when bending."
"M","Y","I’ve been experiencing numbness in fingers that is affecting my daily life. Never had anything like this before."
"F","N","I entered the wrong email when registering and now I can’t verify my account or change it without logging in. Might be worth checking if others are experiencing the same."
"M","Y","I’ve been experiencing leg weakness that gets worse at night. Never had anything like this before."
"M","N","I the app keeps crashing, even when I use a different device"
"M","Y","I’ve been experiencing shoulder discomfort that comes and goes. Wondering if I should see someone about it."
"M","N","Prescriptions tab not showing up anymore, used to work fine before.  Hoping to get this sorted soon."
"M","Y","I’ve been experiencing back pain that comes and goes. I’m finding it hard to manage with work."
"F","Y","I feel exhausted all the time, even after a full night's sleep. I’ve also had some unexplained weight loss and headaches. It’s really starting to affect my day-to-day."
"M","N","It keeps saying 'session expired' even if I’ve just logged in. Happens almost every time I try to book an appointment. I’ve talked to friends and they’ve had similar issues."
"F","N","Every time I try to order a repeat prescription, I get a message saying ‘Service unavailable’. It’s been like this for days. Not sure what to do next."
"F","N","I the system won’t send a verification email,"
"F","Y","I’ve been experiencing back pain that has been worsening."
"F","N","I can’t update my contact details, though I contacted support last week"
"M","N","I prescription order disappeared, though I contacted support last week"
"F","N","The prescription list is missing one of my regular meds. It was there before but now it’s gone and I can’t reorder it."
"M","Y","I started having abdominal cramps last week, mostly in the evening. Eating seems to make it worse, especially anything fried. I’m hoping this can be resolved soon."
"M","N","I the system won’t send a verification email, and it’s becoming really frustrating"
"M","N","I the system won’t send a verification email, despite updating it multiple times"
"M","Y","I’ve been experiencing migraine that gets worse at night. It’s been going on for a few weeks."
"M","Y","I’ve been experiencing dizziness that is dull but persistent. It’s been going on for a few weeks."
"M","Y","I’ve been experiencing numbness in fingers that feels sharp."
"M","Y","I started having abdominal cramps last week, mostly in the evening. Eating seems to make it worse, especially anything fried."
"M","Y","My sleep has been disturbed due to abdominal cramps that come and go.  No idea what’s causing it."
"F","N","My dashboard loads but then instantly freezes. Happens on both Wi-Fi and 4G.  This has never happened to me before."
"F","N","Prescriptions tab not showing up anymore, used to work fine before."
"M","N","The app doesn’t seem to support landscape mode, which is a problem when I’m using my tablet with a keyboard attached. Not sure what to do next."
"F","Y","I’ve been experiencing migraine that is affecting my daily life. I’m finding it hard to manage with work."
"M","N","Login loop issue – app keeps asking me to sign in again right after I do.  Wondering if this is common?"
"M","N","Support form just reloads the page after I click submit. Really frustrating.  This has never happened to me before."
"M","N","I the app keeps crashing, though I contacted support last week"
"M","N","I keep trying to log in but the NHS app crashes every time I open it. I've updated to the latest version and restarted my phone, but no luck. Might be worth checking if others are experiencing the same."
"F","Y","Back pain worsens in the evenings, especially after walking or standing all day.  Hoping to get this sorted soon."
"F","Y","I’ve been experiencing chest tightness that gets worse at night. It’s been going on for a few weeks."
"F","N","I submitted a request for a fit note but haven't received any confirmation or follow-up. I need it urgently for work. I’m hoping this can be resolved soon."
"F","Y","I started having abdominal cramps last week, mostly in the evening. Eating seems to make it worse, especially anything fried. I’ve talked to friends and they’ve had similar issues."
"M","N","My dashboard loads but then instantly freezes. Happens on both Wi-Fi and 4G."
"F","N","Prescriptions tab not showing up anymore, used to work fine before.  This has never happened to me before."
"F","Y","My sleep has been disturbed due to abdominal cramps that come and go.  Hoping to get this sorted soon."
"F","Y","I’ve been experiencing leg weakness that is dull but persistent. It’s been going on for a few weeks."
"M","N","I’ve moved house and updated my address online, but it still shows my old one when I try to book an appointment. Might be worth checking if others are experiencing the same."
"F","Y","I’ve been experiencing shoulder discomfort that is dull but persistent. It’s been going on for a few weeks."
"M","Y","Knees clicking and feel unstable, sometimes painful when bending.  Wondering if this is common?"
"F","N","Fit note requested last week, no updates since – need it for work ASAP.  It’s affecting my routine badly."
"F","N","Can’t update my contact details – the button just doesn’t respond.  Wondering if this is common?"
"F","Y","My knees have become increasingly stiff and painful, particularly in the mornings. Sometimes they make a popping sound when I walk. Might be worth checking if others are experiencing the same."
"M","N","The address linked to my account is years out of date – no idea how to fix.  This has never happened to me before."
"F","N","Login loop issue – app keeps asking me to sign in again right after I do."
"F","N","I fit note request has no response, despite updating it multiple times"
"M","N","Prescription said it was sent but pharmacy hasn’t received anything yet.  Hoping to get this sorted soon."
"M","Y","I’ve been experiencing numbness in fingers that gets worse at night. It’s been going on for a few weeks."
"F","N","I can’t update my contact details, despite updating it multiple times"
"M","Y","I’ve been experiencing back pain that has been worsening. I’m finding it hard to manage with work."
"F","Y","I’ve got this strange tingling in my left arm that comes and goes. It doesn’t hurt exactly, but it feels off – hard to describe. Might be worth checking if others are experiencing the same."
"F","N","My dashboard loads but then instantly freezes. Happens on both Wi-Fi and 4G.  It’s affecting my routine badly."
"F","Y","I’ve been experiencing insomnia that has been worsening. Not sure what’s causing it."
"M","N","The app doesn’t seem to support landscape mode, which is a problem when I’m using my tablet with a keyboard attached."
"M","Y","My knees have become increasingly stiff and painful, particularly in the mornings. Sometimes they make a popping sound when I walk. I’ve talked to friends and they’ve had similar issues."
"F","Y","I’ve been experiencing insomnia that is affecting my daily life. I’m finding it hard to manage with work."
"F","N","I submitted a request for a fit note but haven't received any confirmation or follow-up. I need it urgently for work."
"M","N","App keeps asking for a verification code but never sends one. I've tried multiple times with different devices. It’s really starting to affect my day-to-day."
"M","N","Changed my phone number at the GP surgery two weeks ago but it's still showing the old one in my account. I’m hoping this can be resolved soon."
"F","Y","Dizziness has started affecting my ability to concentrate at work.  No idea what’s causing it."
"F","Y","I’ve been experiencing shoulder discomfort that started recently. Not sure what’s causing it."
"M","Y","Back pain worsens in the evenings, especially after walking or standing all day.  This has never happened to me before."
"M","Y","Stomach issues after every meal, feels bloated and gassy, especially in the afternoon.  This has never happened to me before."
"M","Y","Headaches becoming more frequent – lasting hours, mostly around my temples.  Wondering if this is common?"
"F","Y","I’ve been experiencing back pain that comes and goes. Not sure what’s causing it."
"M","N","Can’t update my contact details – the button just doesn’t respond.  No idea what’s causing it."
"M","Y","There’s a tingling sensation in my fingers that lasts for hours at a time.  Hoping to get this sorted soon."
"M","Y","Headaches becoming more frequent – lasting hours, mostly around my temples."
"F","Y","Pain in my chest after walking up stairs, not severe but uncomfortable. It goes away with rest. I don’t have a history of heart issues, but it’s new. I’ve talked to friends and they’ve had similar issues."
"F","N","I can’t update my contact details, and it’s becoming really frustrating"
"F","N","I my address is still wrong,"
"F","Y","I’ve been experiencing numbness in fingers that is affecting my daily life. It’s been going on for a few weeks."
"M","Y","Dizziness has started affecting my ability to concentrate at work.  Hoping to get this sorted soon."
"F","N","Every time I update my details, they revert back after logging out. It’s like changes aren’t being saved. I’ve talked to friends and they’ve had similar issues."
"F","Y","I’ve been experiencing chest tightness that is affecting my daily life. Never had anything like this before."
"F","Y","I’ve been experiencing chest tightness that has been constant. It’s been going on for a few weeks."
"M","N","I app logs me out randomly, though I contacted support last week"
"M","N","I fit note request has no response,"
"F","Y","I’ve been experiencing leg weakness that comes and goes. Not sure what’s causing it."
"M","Y","I’ve been experiencing leg weakness that has been worsening. Not sure what’s causing it."
"F","N","I my address is still wrong, even after resetting my password"
"M","N","The address linked to my account is years out of date – no idea how to fix.  Wondering if this is common?"
"F","Y","I’ve been experiencing numbness in fingers that has been worsening. It’s been going on for a few weeks."
"F","Y","My eczema has flared up badly – red, itchy patches on my arms and neck. I've been using creams but it doesn’t seem to help much. Might be worth checking if others are experiencing the same."
"M","Y","I’ve been experiencing migraine that comes and goes. Wondering if I should see someone about it."
"F","Y","I’ve been experiencing joint stiffness that is affecting my daily life. I’m finding it hard to manage with work."
"M","Y","I’ve been experiencing chest tightness that comes and goes. Wondering if I should see someone about it."
"M","N","Tried calling support but the line just goes dead after the initial menu. There’s no clear way to get help. Might be worth checking if others are experiencing the same."
"M","N","Every time I update my details, they revert back after logging out. It’s like changes aren’t being saved. Might be worth checking if others are experiencing the same."
"F","Y","I’ve been experiencing leg weakness that has been worsening. Wondering if I should see someone about it."
"F","Y","I’ve been experiencing joint stiffness that gets worse at night. Wondering if I should see someone about it."
"F","Y","I feel exhausted all the time, even after a full night's sleep. I’ve also had some unexplained weight loss and headaches. I’ve talked to friends and they’ve had similar issues."
"F","Y","I’ve been experiencing back pain that comes and goes."
"F","Y","I’ve been experiencing migraine that feels sharp. It’s been going on for a few weeks."
"F","Y","Back pain worsens in the evenings, especially after walking or standing all day."
"F","N","Fit note requested last week, no updates since – need it for work ASAP.  This has never happened to me before."
"M","N","I I keep getting an error message,"
"M","N","Why does the site log me out every few minutes? It’s incredibly frustrating when I’m in the middle of filling in details. Might be worth checking if others are experiencing the same."
"F","N","The address linked to my account is years out of date – no idea how to fix.  Hoping to get this sorted soon."
"M","Y","Knees clicking and feel unstable, sometimes painful when bending.  It’s affecting my routine badly."
"M","Y","Dizziness has started affecting my ability to concentrate at work.  Wondering if this is common?"
"F","N","The prescription list is missing one of my regular meds. It was there before but now it’s gone and I can’t reorder it. I’m hoping this can be resolved soon."
"F","Y","Email verification not arriving, even though I’ve tried resending it twice.  It’s affecting my routine badly."
"M","Y","Fit note requested last week, no updates since – need it for work ASAP.  Wondering if this is common?"
"M","Y","I’ve been experiencing shoulder discomfort that is affecting my daily life. Never had anything like this before."
"M","Y","For the last couple of months, I've had persistent lower back pain that’s worsened when sitting for long periods. I’ve tried using heat packs but no real improvement. I’m hoping this can be resolved soon."
"F","N","Changed GP in settings but it still shows the old one when I check my profile.  This has never happened to me before."
"F","Y","Experiencing regular dizziness, especially after standing up quickly. It started mildly but has become more noticeable. Could this be related to medication side effects? It’s really starting to affect my day-to-day."
"F","Y","I started having abdominal cramps last week, mostly in the evening. Eating seems to make it worse, especially anything fried. Not sure what to do next."
"M","N","I my address is still wrong, despite updating it multiple times"
"F","Y","I’ve been experiencing migraine that started recently."
"F","N","Login loop issue – app keeps asking me to sign in again right after I do.  No idea what’s causing it."
"F","N","Why does the site log me out every few minutes? It’s incredibly frustrating when I’m in the middle of filling in details. It’s really starting to affect my day-to-day."
"F","N","Prescription said it was sent but pharmacy hasn’t received anything yet.  It’s affecting my routine badly."
"M","Y","I’ve got this strange tingling in my left arm that comes and goes. It doesn’t hurt exactly, but it feels off – hard to describe. It’s really starting to affect my day-to-day."
"F","Y","Chronic migraine attacks are becoming more frequent. Sometimes I can’t even look at light without feeling nauseous. It’s really starting to affect my day-to-day."
"F","N","Changed GP in settings but it still shows the old one when I check my profile."
"F","Y","Dizziness has started affecting my ability to concentrate at work.  This has never happened to me before."
"M","N","Can’t reset my password. The system tells me it’s sent a reset link, but nothing arrives – not even in junk folder. It’s really starting to affect my day-to-day."
"F","N","Email verification not arriving, even though I’ve tried resending it twice.  No idea what’s causing it."
"F","Y","I’ve been experiencing joint stiffness that has been constant. It’s been going on for a few weeks."
"M","Y","Getting numbness in my fingers after using the keyboard for long. Wondering if it could be carpal tunnel? I’m hoping this can be resolved soon."
"F","N","It keeps saying 'session expired' even if I’ve just logged in. Happens almost every time I try to book an appointment. It’s really starting to affect my day-to-day."
"F","N","Changed my phone number at the GP surgery two weeks ago but it's still showing the old one in my account. Not sure what to do next."
"F","N","I tried to change my GP online but the system gave me an error code with no explanation. What should I do? I’m hoping this can be resolved soon."
"M","N","Can’t reset my password. The system tells me it’s sent a reset link, but nothing arrives – not even in junk folder. Not sure what to do next."
"M","N","I I keep getting an error message, even after resetting my password"
"F","Y","I’ve been experiencing shoulder discomfort that feels sharp. Wondering if I should see someone about it."
"M","Y","I’ve been experiencing shoulder discomfort that has been constant. I’m finding it hard to manage with work."
"M","N","I the app keeps crashing, despite updating it multiple times"
"F","Y","Getting numbness in my fingers after using the keyboard for long. Wondering if it could be carpal tunnel? Not sure what to do next."
"M","N","My dashboard loads but then instantly freezes. Happens on both Wi-Fi and 4G.  Hoping to get this sorted soon."
"F","Y","Knees clicking and feel unstable, sometimes painful when bending.  No idea what’s causing it."
"F","Y","I’ve been experiencing numbness in fingers that is affecting my daily life. I’m finding it hard to manage with work."
